id,title,company,date,nodeOffset,description,image,icon,color,branch
1,Digital Director,Together,"May 2024",-100,"Together is a B Corp dedicated to bridging political divides through dialogue and technological innovation. \n \n As a Digital Strategist and Gen-Z Consultant, I collaborated directly with senior leadership to design and execute programs for the 2024 election cycle, helping expand youth engagement and test new digital tactics.","assets/together.png","fas fa-suitcase","#d17aff",
2,Influencer Consultant,Drumbeat,"May 2024",120,"Drumbeat is a PAC seeking to streamline partnerships between content creators & politicos, and develop sustainable communications infrastrucutre for the digital age. \n \n I developed a roster of reliable creators for them to work with, pulling from my personal relationships with many influencers, and dealt with the onboarding of each one. I also served as an advisor to Drumbeat, working alongside the CEO's to help them create a product that would be appealing to influencers and create content that could be widely consumed + shared.","assets/Drumbeat.jpg","fas fa-suitcase","#d17aff",
3,Finance Director,Ascendant Inc.,"February 2023",-110,"Ascendant is a Political Consulting Firm based in Northern Virginia. \n \n As Campaign Finance Lead for Ascendant Inc., I managed fundraising operations for multiple local campaigns. This included maintaining meticulous donor data and analyzing said data to develop fundraising prospects and outreach strategy. \n \n By overseeing candidate call time, I out-raised the entire field, including other Democratic candidates for similar roles.","/assets/Ascendant.png","fas fa-suitcase","#d17aff",
4,Vice Chair,the Center for New Liberalism,"May 2024",-100,"The Center for New Liberalism is a grassroots network advancing pragmatic, abundance-driven policies through a mix of digital savvy, on the ground campaigning and lobbying. \n \n Elected to the board and later voted Vice Chair of the Center for New Liberalism, I oversee executive functions alongside a nine-member board, guiding the organization’s strategic vision and fostering innovative approaches to liberal policy and advocacy, ensuring the organization remains a forward-thinking force in shaping public discourse.","assets/CNL.jpg","fas fa-cogs","#50dd90",
5,Field Director,Jackie Smith for County Clerk,"September 2023",-130,"Leading the campaign for Jackie Smith’s clerk candidacy, I led volunteer recruitment and engingeered creative + strategic outreach efforts that delivered results. One of these efforts included having the candidate attend a gunshow and set up a booth to help showgoers get a conceal carry license. \n \n Our campaign achieved the highest margin of victory for a Democrat in the county that cycle.","assets/JS.png","fas fa-suitcase","#d17aff",
6,Partner,Tour to Save Democracy,"July 2024",120,"The tour to save democracy was a national bus tour during the 2024 election to help get out the youth vote in congressional swing districts. The tour was a collaborative effort between 25+ organizations, had stops in 12 states and was led by some of the largest figures in Gen-Z politics. \n \n Progress libs was asked to be a partner and I was asked to join the tour in my capacity as an activist and influencer. I coordinated travel and rally logisitics, was a speaker at the rallies and travelled across the country talking to voters.","assets/TTSD.jpg","fas fa-cogs","#50dd90",
7,Deputy Organizing Director,Connecticut Democratic Party,"August 2024",-400,"In my role with the Connecticut Democrats, I led day-to-day statewide organizing efforts for state party, serving in an operational management role for over 90 campaigns including CD-5- a swing district, and the campaign of the Junior senator Chris Murphy. \n \n I oversaw the hiring, training, and day to day management of our Organizing team which consisted of 5 regional directors, 23 organizers, and 22 fellows. \n \n 2024 was the first year that Connecticut had in-person early vote, this was a focus of our organizing programs. I directed the State Party's direct-text, Latino and Youth voter outreach and information campaigns. This led to 26% of the CT population voting early, breaking most first-year early vote records. \n \n Acheived an 87% win-rate of our competitive races despite the state shifting 10 points to the right on the Presidential; Flipping 6 seats, protecting 91% of our purple district incumbents and winning all but open-seats. all of this leading to one of the largest state house majorities in the past 30 years.","assets/CTD.jpeg","fas fa-suitcase","#d17aff",
8,Founder,Progress Libs,"June 2022",300,"Political organizing and communications have needed a shake up for a looong time, and that's what Progress Libs is \n \n Progress Libs was the first organization in the country to leverage influencer power to mobilize grassroots support for local and nationwide projects. \n \n Alongside the novel politik, we also led with novel politics, what we call 'Red Meat Liberalism', a style of capital L Liberalism that isn't scared to fight dirty and stand its ground. \n \n learn more on our website: <a href='https://progresslibs.org' target='_blank'>https://progresslibs.org</a> \n \n Or check out our Agenda for a deeper insight into our ideology, motivations and programs: <a href='https://www.progresslibs.org/_files/ugd/af1c63_6b24f27fc40646ae899bcc430e9786d8.pdf' target='_blank'>2024 Agenda</a>","assets/PL1.png","fas fa-star","#ff3264",
9,Accounts Associate,Good Influence,"February 2025",-300,"Good Influence is a political consulting firm connecting marketing campaigns with a pro-social agenda (Climate change awareness, Zoning reform, Woman's right to choose, etc.) to content creators. \n \n As an Accounts associate I manage relationships with creators and work alongside marketing teams to connect them with the right influencers for whatever their needs may be","assets/goodinfluence.jpg","fas fa-suitcase","#d17aff",
10,Returning to school,Self,"Current",200,"After a year hiatus, I'm finally returning to college seeking a Bachelors in Economics and a double minor in Public Policy and Mathematics. Still awaiting responses from schools, crossed fingers. \n \n Above is a list of schools I applied to in order of preference. Preference was decided through a personalized algorithm to determine maximum compatibility. \n \n Factors included the national rankings of the school in respect to the degrees I am pursuing, the location, student body, professors, culture and more.","assets/schools.png","fas fa-user-alt","#ff7a7a",
11,National Strategy Advisor,Progressive Victory,"August 2022",-200,"Progressive Victory is a political organization dedicated to engaging young people in local politics and activism by working alongside creators. If that sounds familiar, it is! I started Progress Libs with the same goal in mind and was quickly scouted by Progressive Victory and asked to join their ranks. \n \n Serving first as the North Carolina Canvassing lead, I planned and executed novel canvassing operations across the state of North Carolina, which led to me being given the role of North & South Carolina Director and then a month later National Strategy Advisor. \n \n In my role with Progressive Victory, I managed daily operations across North and South Carolina, crafting statewide messaging and canvassing strategies that energized volunteers. I organized weekly canvasses and was they key organizer in Progressive Victory's headline programs in Virginia, Georgia, and Wisconsin, while also serving as a national advisor on strategic projects. As a public representative, I advanced the organization’s mission, blending hands-on leadership with high-level strategic insight to drive impact.","assets/PV.jpg","fas fa-suitcase","#d17aff",
